,Unnamed: 0,product_name,review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
0,0,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Yes! The best ever PC,"Mainly using for browsing, project works. It’s great laptop ever used. Look and feel is awesome!",Balakrishnam Raju,5.0 out of 5 stars,"Reviewed in the United States on April 21, 2022",
1,1,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Constant problems,"The computer stops working on different apps (keys commands stop reacting properly and only give you a sound effect instead of the usual function of these keys) and you have to switch back and forth from app to app to restore the function. Computer started heating for no reason, the battery life was gone in 3 months to 3-4 hours of watching a movie instead of advertised 11 hours (which it did for about a month).",Nota Bene,1.0 out of 5 stars,"Reviewed in the United States on May 24, 2022",
2,2,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",No built-in USB or SD ports makes machine completely unworkable. Will never buy a Mac again,"I spent a ton of money on this machine but it doesn't have any USB or SD ports and unfortunately every single adapter I've ever bought has been crap. The adapter will disconnect every 2 seconds even when I don't touch it making every single thing I want to do completely unworkable. I hate this Mac with every part of my being, and I have always been a Mac girl up until they took away the SD slot.",Maria Sprow,1.0 out of 5 stars,"Reviewed in the United States on April 26, 2022",One person found this helpful
3,3,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",How Apple treats loyal customers,"I have a Mabook Pro covered by Apple care. The computer needs a new battery. To make a long story short Apple left me for months with a computer, again under warranty, which I can use for a couple of hours for simple tasks like web browsing before it needs to be recharged. Apple refused to replace the battery because the diagnostic read 81% not below 80 % as per policy. In all this Apple didn’t have any problems asking me to invest countless hours of my time between doing clean installs trips to apple stores etc.. I feel a more respectful way to treat me as a loyal customer could have been let us replace the battery first and if that doesn’t fix the issue which I seriously doubt ask me to do troubleshooting. All this to save something that would probably cost you few $$. Seriously ?",David T,1.0 out of 5 stars,"Reviewed in the United States on October 29, 2021",178 people found this helpful
4,4,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Best laptop on the market,"This MacBook Pro is amazing. I can do all my work without thermal issues and the performance is great. I like how it can handle video and photo editing software easy without getting hot and the fan doesn't need to come on. Can't wait for the m2 pro later this year hopefully. Apple has really add lots of power into all their product, only thing I didn't like is how buggy the software is compare to 5 years ago. I'm glad they brought back all the ports, definitely made my workflow better",STPal,4.0 out of 5 stars,"Reviewed in the United States on May 26, 2022",2 people found this helpful
5,5,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The sound quality is fantabulous!!!,This impressed me from the unboxing until now.  I mostly use this for personal research and Zoom meetings and this is proving to be a wise investment.  Buy it nice or buy it twice! This is NICE.,Leslie Miles,5.0 out of 5 stars,"Reviewed in the United States on August 5, 2022",One person found this helpful
6,6,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Disappointed,"I was all hyped up receiving a new MAC computer, but what a disappointment.",AmazonPrime,1.0 out of 5 stars,"Reviewed in the United States on February 12, 2022",5 people found this helpful
7,7,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray","14"" MacBook Pro vs. 13"" MacBook Pro","I am writing this review focused primarily on people who are considering jumping from the 13"" MacBook Pro to the 14"" MacBook Pro, which is what I did. I moved from the 13"" MacBook Pro M1 with 16gb of RAM to the 14"" MacBook Pro M1 Pro with 16gb of RAM.",Ian,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2021",649 people found this helpful
8,8,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Can only connect to one monitor,"This laptop has a fun feature where it can only connect to a single monitor. You have to spend hundreds on a hub device to make it work. SO user friendly, thanks Apple!",Brad Johnson,1.0 out of 5 stars,"Reviewed in the United States on May 2, 2022",2 people found this helpful
9,9,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The notch totally ruins it,"All I can see is the ugly black notch when using this thing. What is otherwise a great laptop is ruined by this completely stupid decision to cut out a large chunk of the screen. Doesn’t even have Face ID so why?? It actually makes it seem like a smaller screen than my old 13”. It cuts off the top menu bar, it is so bizarre to use. The keyboard isn’t the best either. It’s pretty thick and chunky kind of like they went back to old design. Lose the dumb notch and it would be good.",Elliott S.,1.0 out of 5 stars,"Reviewed in the United States on January 17, 2022",6 people found this helpful
10,10,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Eye strain with migraines,Have never written a review but I was so excited for this computer but with the Liquid Retina I believe and even with a matte screen cover having major migraines. It’s so sad to have to return it but can’t work with the major headaches and nothing works tried all the settings and a blue light screen.,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on January 7, 2022",6 people found this helpful
11,11,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",No USB ports,Carrying dongles everywhere is ridiculous. Avoid apple.,David,1.0 out of 5 stars,"Reviewed in the United States on April 7, 2022",One person found this helpful
12,12,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Nice youtube and Amazon reviews,"For now, I didn`t buy this MacBook, but my son has watched loads of videos with it, reviews are very nice, so I`m going to order this and tell you about the first impression!",paris,5.0 out of 5 stars,"Reviewed in the United States on May 17, 2022",
13,13,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Excelente inversión,"Creo que es una de las mejores compras que he realizado, el producto funciona excelente!",Waleska,5.0 out of 5 stars,"Reviewed in the United States on August 25, 2022",3 people found this helpful
14,14,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",As expected,It was a gift.,Lois M Darden,5.0 out of 5 stars,"Reviewed in the United States on April 19, 2022",
15,15,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",It’s Apple.,What can I say? Just a fantastic beast of a laptop and incredibly gorgeous.,Shinel Spalding,5.0 out of 5 stars,"Reviewed in the United States on December 8, 2021",9 people found this helpful
16,16,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",My drame laptop,I want buy it .How expensive!,LI JUN,5.0 out of 5 stars,"Reviewed in the United States on March 9, 2022",
17,17,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Amazing,Wonderful,Lio,5.0 out of 5 stars,"Reviewed in the United States on May 16, 2022",
18,18,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Macbook Pro 14 inch M1,"WOW, just wow !",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on September 17, 2022",2 people found this helpful
